r,State,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
p17073,IL,0.049951431,0.060624483,0.08696501,0.163366367,0.260315858,0.686861707,1.64225884,2.548922113,3.102920199,3.791078028
p17077,IL,0.067676132,0.083010409,0.120301598,0.229561352,0.371359685,0.981733577,2.351690508,3.664109642,4.47823199,5.466419601
p17081,IL,0.049951431,0.059090839,0.08261676,0.152974464,0.240291561,0.627559727,1.485278216,2.326556972,2.859022541,3.490602132
p17083,IL,0.024170047,0.029829151,0.043482505,0.081394406,0.129247734,0.342559012,0.822638849,1.281123544,1.565009969,1.914053304
p17087,IL,0.011279355,0.013920271,0.020291836,0.039062158,0.063713672,0.169611604,0.409055281,0.631935871,0.765567647,0.934395996
p17095,IL,0.061230786,0.074033539,0.105807429,0.198194484,0.314927576,0.829286284,1.978861525,3.085382722,3.773638757,4.610215828
p17109,IL,0.037060739,0.044204388,0.062324924,0.117377633,0.187500233,0.492292047,1.171316967,1.821642169,2.222178658,2.712627977
p17117,IL,0.056396777,0.069601353,0.101459179,0.193578125,0.313107186,0.825632055,1.972823809,3.094296354,3.807513432,4.651379468
p17119,IL,0.40766813,0.479602472,0.666731746,1.223405242,1.904128583,4.966103758,11.73732053,18.49263242,22.85863046,27.87966793
p17121,IL,0.058008113,0.080791831,0.130447515,0.249958762,0.405947107,1.055621866,2.487539125,3.968282206,4.966027305,6.050980724
p17125,IL,0.016113365,0.019886101,0.028988337,0.054647974,0.08737875,0.231764101,0.556979331,0.866303629,1.056889849,1.29659866
p17127,IL,0.016113365,0.019374886,0.02753892,0.051569042,0.081917578,0.216661897,0.519243604,0.803696531,0.97559063,1.193708253
p17129,IL,0.012890692,0.015908881,0.023190669,0.043487357,0.069174843,0.18344011,0.440753292,0.684306981,0.833316997,1.016723285
p17131,IL,0.016113365,0.019374886,0.02753892,0.051569042,0.081917578,0.214114502,0.507168171,0.785960214,0.955265825,1.160814731
p17133,IL,0.038672076,0.046704213,0.066673175,0.123726655,0.194781796,0.512959025,1.224146985,1.918046219,2.357677356,2.87728255
p17135,IL,0.041894749,0.050170218,0.071021425,0.132385894,0.209344921,0.548879768,1.304146726,2.055040897,2.540600599,3.11595689
p17137,IL,0.035449403,0.042726992,0.060875507,0.114876256,0.183859452,0.484983589,1.159241534,1.798434532,2.188303983,2.671464336
p17145,IL,0.020947374,0.025851931,0.037684838,0.070811344,0.112864218,0.29788925,0.712450526,1.103891563,1.341437116,1.642373262
p17149,IL,0.016113365,0.019886101,0.028988337,0.055225528,0.08919914,0.237965724,0.57509248,0.888804615,1.077214654,1.321296848
p17151,IL,0.003222673,0.004488435,0.007247084,0.014239548,0.023665078,0.063744619,0.155471195,0.234852274,0.277772332,0.341639541
p17153,IL,0.006445346,0.00795444,0.011595335,0.025786559,0.047330156,0.12621554,0.304904674,0.470411199,0.569094534,0.822674553
p17155,IL,0.006445346,0.00795444,0.011595335,0.022321233,0.036407812,0.096966406,0.233961508,0.365184465,0.447145705,0.547457754
p17157,IL,0.038672076,0.050282717,0.076819092,0.148166945,0.242111952,0.630258682,1.486787645,2.34689776,2.906447086,3.544133566
p17161,IL,0.22880978,0.268068618,0.371050711,0.675005759,1.041263432,2.699046321,6.339602139,9.998217092,12.37103119,15.03706007
p17163,IL,0.451174215,0.558855687,0.817471097,1.555165184,2.508498268,6.57988561,15.64070414,24.91596713,31.13760095,37.9482576
p17165,IL,0.02739272,0.032783942,0.046381339,0.088129823,0.141990468,0.373233404,0.889053729,1.380041117,1.680183863,2.054009692
p17169,IL,0.009668019,0.013465305,0.021741253,0.044451306,0.076456406,0.19837545,0.466413586,0.742856062,0.928166086,1.131981486
p17171,IL,0.004834009,0.00596583,0.008696501,0.016740925,0.027305859,0.072008349,0.172074915,0.264369072,0.318421942,0.386938242
p17175,IL,0.006445346,0.00795444,0.011595335,0.021166124,0.032767031,0.087110553,0.209810642,0.32697617,0.399721161,0.489828654
p17181,IL,0.017724701,0.021363496,0.030437754,0.057726905,0.092839921,0.245592607,0.588677342,0.910467759,1.104314394,1.350130094
p17187,IL,0.017724701,0.021363496,0.030437754,0.057149351,0.091019531,0.239072558,0.569054763,0.881304286,1.070439719,1.308966449
p17189,IL,0.014502028,0.017897491,0.026089503,0.049067665,0.078276796,0.204577074,0.484526735,0.751678747,0.914616216,1.111418359
p17191,IL,0.017724701,0.022897141,0.034786004,0.068696362,0.114684609,0.301543479,0.718488242,1.125070192,1.382086726,1.687671968
p17193,IL,0.014502028,0.018408706,0.02753892,0.051569042,0.081917578,0.216025048,0.516224746,0.798578537,0.968815695,1.181377854
p17199,IL,0.08701217,0.106362516,0.153638185,0.29229101,0.471481169,1.245127343,2.979613006,4.695824528,5.806119236,7.080034403
p17107,IL,0.033838066,0.042783242,0.063774341,0.12392189,0.203883749,0.543330296,1.311693871,2.074675033,2.574475274,3.140729863
p17123,IL,0.016113365,0.019374886,0.02753892,0.051569042,0.081917578,0.214751351,0.510187029,0.799285189,0.982365565,1.197843314
p17143,IL,0.327101306,0.38784019,0.543531314,1.001547333,1.565535929,4.088038802,9.673930979,15.36242962,19.13919118,23.31072793
p17167,IL,0.310987941,0.372043808,0.526138312,0.977306353,1.54005046,4.034650628,9.578836947,15.09588989,18.66494574,22.7754136
p17179,IL,0.172413004,0.204601843,0.286984534,0.53050345,0.831918511,2.17468523,5.151681453,8.073195302,9.925279675,12.10192405
p17203,IL,0.038672076,0.046704213,0.066673175,0.125459318,0.200242968,0.527105956,1.257354424,1.957930196,2.391552031,2.92254386
p17019,IL,0.241700472,0.290112077,0.411634382,0.765258715,1.206918978,3.165637812,7.524503968,11.7731309,14.45093621,17.63826575
p17021,IL,0.038672076,0.046192998,0.065223758,0.122380386,0.194781796,0.512959025,1.224146985,1.904367919,2.323802682,2.836118905
p17023,IL,0.017724701,0.021363496,0.030437754,0.058304459,0.094660312,0.249883684,0.597733916,0.928557402,1.131414134,1.38306101
p17025,IL,0.016113365,0.019886101,0.028988337,0.055225528,0.08919914,0.235099905,0.561507618,0.880819771,1.083989589,1.329529576
p17029,IL,0.05478544,0.066590314,0.095661511,0.180684846,0.289442108,0.763479558,1.824899759,2.835307655,3.455216815,4.231472919
p17033,IL,0.019336038,0.024374536,0.036235421,0.07004263,0.114684609,0.304090874,0.730563675,1.140070849,1.395636596,1.704137424
p17035,IL,0.009668019,0.011931661,0.017393002,0.032904295,0.052791328,0.14036247,0.338112114,0.521237816,0.630068949,0.769741427
p17039,IL,0.019336038,0.023863321,0.034786004,0.06580859,0.105582656,0.278814394,0.667167654,1.04353561,1.280462702,1.564181039
p17041,IL,0.017724701,0.021363496,0.030437754,0.057726905,0.092839921,0.245911031,0.590186771,0.914394586,1.111089329,1.354265155
p17045,IL,0.020947374,0.025340716,0.036235421,0.067732413,0.107403046,0.282468622,0.67320537,1.045564618,1.273687767,1.55185064
p17047,IL,0.006445346,0.00795444,0.011595335,0.021743679,0.034587422,0.092993753,0.226414362,0.348285989,0.420045966,0.514526838
p17049,IL,0.048340094,0.058124658,0.08261676,0.152974464,0.240291561,0.630425546,1.498863077,2.364634077,2.92677189,3.564734083
p17053,IL,0.014502028,0.017897491,0.026089503,0.048490111,0.076456406,0.201559693,0.481507877,0.749296413,0.914616216,1.111418359
p17075,IL,0.033838066,0.040738382,0.057976674,0.108140839,0.171116718,0.446985436,1.058109786,1.647499175,2.012155675,2.457413391
p17079,IL,0.009668019,0.011931661,0.017393002,0.032326741,0.050970937,0.136389817,0.330564969,0.51254632,0.623294014,0.761508695
p17101,IL,0.012890692,0.015908881,0.023190669,0.044642466,0.072815625,0.193932811,0.467923015,0.719426289,0.867191671,1.061984592
p17113,IL,0.203028397,0.242385435,0.342062374,0.635374198,1.001214838,2.62470335,6.235451533,9.749151298,11.95776015,14.58403563
p17115,IL,0.135352265,0.1619311,0.22900786,0.426405492,0.673544528,1.762513703,4.179609125,6.520949252,7.980873349,9.726837946
p17139,IL,0.012890692,0.015908881,0.023190669,0.044642466,0.072815625,0.192659114,0.461885299,0.71466162,0.867191671,1.061984592
p17147,IL,0.017724701,0.021363496,0.030437754,0.057149351,0.091019531,0.240346256,0.57509248,0.894275935,1.090764524,1.333664637
p17159,IL,0.017724701,0.021363496,0.030437754,0.057726905,0.092839921,0.245274182,0.587167912,0.912012252,1.111089329,1.358362822
p17173,IL,0.022558711,0.027840541,0.040583671,0.077546761,0.125606952,0.332384735,0.796978555,1.236252762,1.504035555,1.835861081
p17183,IL,0.096680189,0.116760532,0.166682936,0.31307074,0.498787029,1.311085629,3.123008768,4.877376904,5.97549261,7.314536287
p17185,IL,0.012890692,0.015397666,0.021741253,0.041563535,0.067354453,0.178830608,0.430187288,0.667761831,0.812992192,0.996122763
p18001,IN,0.009905333,0.013447949,0.02671715,0.095418049,0.152340668,0.21669006,0.30802448,0.418557448,0.57874707,0.650194891
p18003,IN,0.09707226,0.149605588,0.321878045,1.180198016,1.934726487,2.988992295,4.532806938,6.422774419,9.20833513,10.52373613
p18007,IN,0.003962133,0.003718395,0.005088981,0.018622132,0.030468134,0.037130264,0.045343705,0.054784465,0.067259795,0.075226089
p18009,IN,0.003962133,0.009757611,0.025444905,0.096241523,0.162496713,0.202405334,0.253299318,0.359524726,0.516179819,0.592971995
p18011,IN,0.081223727,0.104535928,0.199742502,0.644559116,0.915736684,1.295272496,1.832511118,2.84141543,4.365629922,4.831519621
p18015,IN,0.011886399,0.013419892,0.022900414,0.086930456,0.147262646,0.178766561,0.217337069,0.248229826,0.284680991,0.315637229
p18017,IN,0.009905333,0.01005089,0.015266943,0.060562688,0.106638468,0.138014059,0.179811245,0.236002185,0.315964616,0.351937355
p18023,IN,0.019810665,0.017082173,0.020355924,0.069270428,0.104945794,0.142285026,0.193883429,0.251607509,0.33317061,0.379505671
p18033,IN,0.019810665,0.01972433,0.02926164,0.119339799,0.21496961,0.258625376,0.311151632,0.372915332,0.453612568,0.50414009
p18035,IN,0.176314921,0.252282319,0.519076056,1.841536573,2.919862808,4.292999968,6.269939918,8.789433826,12.48842325,13.83542235
p18039,IN,0.202068785,0.242103849,0.436380116,1.69833992,2.941867572,4.08347749,5.683598903,7.415071645,9.869983807,11.14685122
p18045,IN,0.003962133,0.003718395,0.005088981,0.015491272,0.020312089,0.025151442,0.031271521,0.043944529,0.062567251,0.070891657
p18049,IN,0.041602397,0.048479426,0.085240431,0.294440077,0.453636657,0.580418368,0.747389347,1.024660286,1.428097499,1.590209252
p18053,IN,0.027734931,0.033200336,0.059795526,0.224289061,0.375773648,0.456945093,0.55663307,0.703583722,0.907225136,1.009988776
p18059,IN,0.150561056,0.142808827,0.198470257,0.770617023,1.33213451,1.66463684,2.090501165,2.399798646,2.770165027,3.066497249
p18063,IN,0.118863991,0.13835088,0.24299884,0.938517877,1.614811084,1.929702473,2.303147506,2.694451729,3.184673064,3.532523711
p18067,IN,0.071318395,0.074102685,0.115774316,0.446874062,0.768474038,0.963699831,1.214898583,1.475527983,1.822271178,2.026916839
p18069,IN,0.031697064,0.039938339,0.075062469,0.213885571,0.25220844,0.305532218,0.370567521,0.444496468,0.541206719,0.602704972
p18073,IN,0.015848532,0.015251032,0.021628169,0.084623069,0.147262646,0.185929347,0.236099982,0.301401849,0.392609499,0.436686605
p18075,IN,0.003962133,0.004095846,0.006361226,0.025104001,0.044009526,0.056086521,0.071924498,0.100476743,0.142340495,0.159954358
p18085,IN,0.007924266,0.007814242,0.011450207,0.03328993,0.040624178,0.050899783,0.064106618,0.088894938,0.125134502,0.140929016
p18087,IN,0.021791732,0.024980586,0.043256338,0.137415719,0.191272172,0.235449981,0.290825143,0.371156693,0.483332012,0.537856342
p18089,IN,1.341182036,1.507794475,2.562301906,9.091335298,14.41650524,17.46742999,21.18958249,24.80472664,29.33934806,32.98500047
p18091,IN,0.08518586,0.078813147,0.105596355,0.354839733,0.529806991,0.739798249,1.035087338,1.337811916,1.764396471,2.021014739
p18095,IN,0.204049852,0.296428733,0.615766694,2.172919252,3.425972362,4.912328311,7.029837873,9.845968085,13.979088,15.49737756
p18099,IN,0.146598923,0.168531609,0.292616404,0.994588329,1.504787268,2.125540217,3.003629572,4.485946695,6.7056451,7.485601339
p18103,IN,0.019810665,0.020479232,0.031806131,0.120823713,0.204813565,0.254406238,0.317405936,0.397191747,0.506794731,0.564654288
p18107,IN,0.023772798,0.023065274,0.033078376,0.112173088,0.169267409,0.213375709,0.270498655,0.337231688,0.428585668,0.47817546
p18111,IN,0.015848532,0.015628483,0.022900414,0.086408646,0.145569972,0.187215821,0.242354286,0.284576796,0.337863154,0.375297128
p18113,IN,0.009905333,0.008918537,0.011450207,0.03328993,0.040624178,0.05209358,0.06723377,0.09150237,0.126698683,0.14693008
p18121,IN,0.007924266,0.007814242,0.011450207,0.038508032,0.057550919,0.071461385,0.089123834,0.113328439,0.147033039,0.16428879
p18127,IN,0.138674657,0.126746779,0.166664126,0.595525055,0.95128284,1.286760421,1.749641588,2.212683267,2.854630816,3.188940499
p18131,IN,0.001981067,0.002236649,0.003816736,0.012140264,0.016926741,0.0217554,0.028144369,0.039550076,0.056310526,0.063119053
p18133,IN,0.011886399,0.010777735,0.013994698,0.044166427,0.060936267,0.082617112,0.112577475,0.147478183,0.19708684,0.238429785
p18135,IN,0.013867466,0.019053599,0.038167357,0.150102195,0.262364484,0.396898586,0.592595319,0.802369479,1.105876157,1.260399708
p18141,IN,0.830066873,0.897145984,1.464354267,6.136276592,11.29013619,13.91634062,17.21497219,20.63112306,25.0941601,28.20635427
p18149,IN,0.0059432,0.005200142,0.006361226,0.02092952,0.030468134,0.041905455,0.057852313,0.073553624,0.095415057,0.106358466
p18151,IN,0.009905333,0.008918537,0.011450207,0.034333551,0.044009526,0.057877218,0.076615226,0.104685729,0.145468858,0.170247891
p18157,IN,0.245652249,0.266398355,0.436380116,1.552754891,2.4696115,3.125644689,3.97930102,5.245855048,7.052893342,7.872130224
p18159,IN,0.007924266,0.008569144,0.013994698,0.05408082,0.093097075,0.113088813,0.137594691,0.164167929,0.198651021,0.221364816
p18165,IN,0.015848532,0.017893189,0.030533886,0.116429085,0.198042869,0.236273077,0.281443687,0.326402642,0.38166023,0.422870974
p18167,IN,0.099053326,0.101641256,0.156486164,0.641248603,1.159481753,1.418020147,1.738696556,2.075785299,2.513639299,2.792243969
p18169,IN,0.013867466,0.014146737,0.021628169,0.085666689,0.150647994,0.185147097,0.228282102,0.277906574,0.344119879,0.383069732
p18171,IN,0.001981067,0.002236649,0.003816736,0.013705694,0.022004763,0.026849463,0.032835097,0.040185021,0.050053801,0.056200747
p18179,IN,0.003962133,0.004095846,0.006361226,0.018320469,0.022004763,0.027446362,0.034398673,0.048934655,0.070388157,0.078685242
p18181,IN,0.059431996,0.067854362,0.117046562,0.448137829,0.765088689,0.917923972,1.100757532,1.255563108,1.437482586,1.600586712
p18183,IN,0.071318395,0.090710528,0.171753107,0.599014694,0.932663425,1.276438775,1.754332316,2.5814444,3.815038115,4.279092315
p18057,IN,0.200087719,0.19344073,0.276077216,0.944763507,1.440465652,1.916565902,2.565828281,3.375122984,4.528304774,5.066924922
p18097,IN,0.804313008,0.79824112,1.179371334,4.022160967,6.108860797,8.25669883,11.21865808,14.89779925,20.16855328,22.57111797
p18005,IN,0.103015459,0.109889064,0.176842088,0.690690245,1.200105931,1.464741638,1.791858141,2.083775573,2.444815323,2.728102767
p18013,IN,0.009905333,0.011560694,0.020355924,0.073966719,0.120179861,0.143838541,0.171993364,0.202380462,0.240883915,0.267209085
p18019,IN,0.057450929,0.053539282,0.072517978,0.245275696,0.369002952,0.50088941,0.683282729,0.916108124,1.251345015,1.401601483
p18021,IN,0.059431996,0.07087397,0.127224524,0.427982979,0.639830807,0.917619179,1.313403873,2.020798211,3.087693825,3.415892693
p18025,IN,0.003962133,0.004473297,0.007633471,0.027933199,0.0457022,0.055993846,0.068797346,0.083573148,0.103235964,0.115006349
p18027,IN,0.021791732,0.023093331,0.036895112,0.145185757,0.253901114,0.304245744,0.364313217,0.433324869,0.522436544,0.579387161
p18029,IN,0.033678131,0.032738713,0.047073074,0.189735364,0.338534818,0.426751418,0.54099731,0.677441744,0.864992242,0.964998804
p18031,IN,0.0059432,0.007464848,0.013994698,0.046775478,0.069399638,0.100657598,0.145412572,0.199576672,0.278424266,0.310427517
p18037,IN,0.021791732,0.020451174,0.027989395,0.100856297,0.162496713,0.206583625,0.264244351,0.320699028,0.395737861,0.444417246
p18041,IN,0.049526663,0.063087785,0.119591052,0.36352307,0.47564142,0.63830657,0.861530398,1.251773242,1.831656266,2.02618843
p18043,IN,0.067356262,0.058683309,0.071245733,0.25027365,0.392700389,0.550328354,0.772406563,1.017523094,1.367094429,1.552656181
p18047,IN,0.009905333,0.010428341,0.016539188,0.063913696,0.110023816,0.133053517,0.161048332,0.190573918,0.228370465,0.254226771
p18051,IN,0.04556453,0.047668409,0.075062469,0.304158725,0.545041058,0.662561117,0.806805236,0.953875469,1.141852326,1.272842448
p18055,IN,0.065375195,0.075696661,0.132313505,0.455997693,0.700767074,0.951290586,1.297768113,1.902326849,2.803012834,3.193373895
p18061,IN,0.043583464,0.051093525,0.090329412,0.287493513,0.40116376,0.493159586,0.608231079,0.709972443,0.836836979,0.927032046
p18065,IN,0.017829599,0.016355328,0.021628169,0.075752297,0.118487186,0.161241283,0.220464222,0.266324768,0.326913885,0.366607283
p18071,IN,0.011886399,0.011910088,0.017811433,0.0516104,0.062628941,0.080136841,0.103196019,0.143229925,0.201779384,0.226532564
p18077,IN,0.011886399,0.014552245,0.02671715,0.106897872,0.189579498,0.247480634,0.325223816,0.431409144,0.583439613,0.651112134
p18079,IN,0.013867466,0.013769286,0.020355924,0.084402922,0.154033342,0.196302824,0.251735742,0.320991419,0.417636399,0.466068425
p18081,IN,0.101034393,0.093686729,0.125952278,0.414717578,0.604284651,0.849131303,1.194572094,1.533336689,2.008408749,2.312186118
p18083,IN,0.027734931,0.026406218,0.036895112,0.145185757,0.253901114,0.315586822,0.394021162,0.484602946,0.606902332,0.677910079
p18093,IN,0.089147994,0.105933503,0.18956454,0.624012776,0.908965987,1.301612186,1.860655487,2.893474648,4.454788254,4.966840279
p18101,IN,0.007924266,0.008191693,0.012722452,0.047598951,0.079555682,0.096520152,0.117268203,0.139773699,0.168931577,0.188502862
p18105,IN,0.192163453,0.226391194,0.402029495,1.440883467,2.308807461,2.816898687,3.444558015,4.140573576,5.05386968,5.615599334
p18109,IN,0.03962133,0.041335914,0.064884507,0.256478257,0.450251308,0.540014598,0.64732048,0.758350696,0.897840048,0.996194127
p18115,IN,0.001981067,0.001859198,0.00254449,0.011398307,0.022004763,0.029237058,0.039089401,0.053739314,0.075080701,0.083873972
p18117,IN,0.031697064,0.040693241,0.077606959,0.240416372,0.323300752,0.388190175,0.46594566,0.547552263,0.650699408,0.721212437
p18119,IN,0.013867466,0.016033992,0.027989395,0.088332854,0.121872535,0.147327259,0.178247668,0.211765042,0.254961547,0.283629572
p18123,IN,0.001981067,0.002236649,0.003816736,0.014227504,0.023697437,0.029741282,0.037525825,0.053329108,0.076644882,0.085603548
p18125,IN,0.0059432,0.005200142,0.006361226,0.02092952,0.030468134,0.043099253,0.060979466,0.07675673,0.09854342,0.10981762
p18129,IN,0.017829599,0.02088474,0.036895112,0.112833529,0.14895532,0.182852178,0.22515495,0.281851549,0.359761692,0.402074093
p18137,IN,0.013867466,0.012636933,0.016539188,0.056608354,0.086326379,0.117637808,0.161048332,0.194743632,0.239319734,0.267188104
p18139,IN,0.003962133,0.005228199,0.010177962,0.039853315,0.069399638,0.092897913,0.125086083,0.175778116,0.250269003,0.280149437
p18143,IN,0.007924266,0.007436791,0.010177962,0.033069784,0.047394875,0.064854653,0.089123834,0.112732765,0.145468858,0.161704916
p18145,IN,0.019810665,0.017837075,0.022900414,0.074407013,0.106638468,0.140401654,0.186065549,0.229899255,0.289373535,0.32338885
p18147,IN,0.019810665,0.025763545,0.049617564,0.181826695,0.29791064,0.396743095,0.531615853,0.683915608,0.897840048,1.004737102
p18153,IN,0.009905333,0.011183243,0.019083679,0.074268382,0.128643231,0.158297634,0.195447005,0.25976147,0.351940786,0.392571913
p18155,IN,0.003962133,0.003340944,0.003816736,0.012140264,0.016926741,0.022949198,0.031271521,0.042157509,0.057874707,0.06484863
p18161,IN,0.001981067,0.002236649,0.003816736,0.015271125,0.027082785,0.031943526,0.037525825,0.04498968,0.054746344,0.061389477
p18163,IN,0.453664234,0.569565092,1.067413753,3.848332238,6.203650546,8.483105747,11.65020507,15.4762371,20.95846482,23.29846925
p18173,IN,0.063394129,0.07270511,0.125952278,0.486205567,0.836181001,1.088326059,1.425981348,1.801341553,2.321245003,2.615386551
p18175,IN,0.029715998,0.033927181,0.058523281,0.2078928,0.330071448,0.398563652,0.48158142,0.561185099,0.660084496,0.734152789
p18177,IN,0.021791732,0.021206076,0.030533886,0.100774781,0.147262646,0.196673527,0.264244351,0.324868742,0.40668713,0.453107091
p20023,KS,0,0,0,0.001871542,0.006222608,0.011221865,0.014204447,0.025875267,0.03983047,0.055507146
p20039,KS,0,0,0.010655907,0.017706466,0.024890433,0.040526073,0.047940008,0.084898812,0.127457504,0.186378946
p20055,KS,0,0,0.074591348,0.142660683,0.23645911,0.386306109,0.458093405,0.783234557,1.137558226,1.575998546
p20063,KS,0,0,0.095903161,0.179945157,0.292462584,0.323314779,0.252128928,0.344996467,0.379186075,0.520242103
p20065,KS,0,0,0,0.001871542,0.006222608,0.010349588,0.012428891,0.022154816,0.033457595,0.045933661
p20067,KS,0,0,0,0.004678854,0.01555652,0.023693276,0.026633338,0.049141039,0.076474503,0.104700325
p20071,KS,0,0,0,0.001871542,0.006222608,0.011221865,0.014204447,0.028097178,0.046203345,0.064062481
p20075,KS,0,0,0,0.004678854,0.01555652,0.02543783,0.030184449,0.058248374,0.093999909,0.130263795
p20093,KS,0,0,0,0.005614625,0.018667824,0.033665594,0.04261334,0.096512042,0.17366085,0.240259937
p20101,KS,0,0,0,0.003743083,0.012445216,0.020699175,0.024857782,0.045976065,0.071694846,0.100320121
p20109,KS,0,0,0.053279534,0.101633125,0.16801042,0.200933916,0.175780028,0.274448961,0.361660669,0.506896421
p20129,KS,0,0,0,0.001871542,0.006222608,0.011221865,0.014204447,0.026430745,0.041423689,0.05560968
p20137,KS,0,0,0,0.008421938,0.028001737,0.047009283,0.056817787,0.107389413,0.170474412,0.231909673
p20153,KS,0,0,0,0.001871542,0.006222608,0.012094142,0.015980003,0.030151196,0.047796564,0.065183165
p20171,KS,0,0,0,0.000935771,0.003111304,0.004738655,0.005326668,0.010050399,0.015932188,0.021388338
p20179,KS,0,0,0,0.007486167,0.024890433,0.044887459,0.056817787,0.116277055,0.195965913,0.276312505
p20181,KS,0,0,0,0.014972334,0.049780865,0.090647195,0.115411129,0.232386218,0.387152169,0.545190359
p20187,KS,0,0,0,0.001871542,0.006222608,0.011221865,0.014204447,0.026430745,0.041423689,0.05560968
p20189,KS,0,0,0,0.001871542,0.006222608,0.011221865,0.014204447,0.02531979,0.038237251,0.053368311
p20193,KS,0,0,0.021311814,0.041027558,0.06844869,0.116462295,0.142044467,0.27375057,0.441321609,0.629110351
p20195,KS,0,0,0.085247255,0.164110233,0.273794759,0.316689778,0.264557819,0.394369688,0.490711392,0.685232711
p20199,KS,0,0,0,0.003743083,0.012445216,0.021571452,0.026633338,0.054140337,0.090813472,0.128022425
p20203,KS,0,0,0,0.003743083,0.012445216,0.023316007,0.030184449,0.057137419,0.090813472,0.125986127
p20001,KS,0,0,0.021311814,0.040091787,0.065337386,0.108234531,0.129615576,0.238819768,0.371219981,0.521765722
p20003,KS,0,0,0.010655907,0.026128404,0.052892169,0.102364068,0.134942243,0.291641946,0.509830017,0.731261698
p20005,KS,0,0,0,0.001871542,0.006222608,0.011221865,0.014204447,0.026430745,0.041423689,0.05662783
p20007,KS,0,0,0.053279534,0.073559998,0.074671298,0.123322773,0.147371134,0.214366262,0.258101446,0.348527387
p20009,KS,0,0,0,0.016843876,0.056003473,0.093146288,0.111860018,0.211058374,0.334575949,0.456282159
p20011,KS,0,0,0,0.003743083,0.012445216,0.022443729,0.028408893,0.053972445,0.086033815,0.116515178
p20013,KS,0,0,0.159838602,0.326422104,0.575591255,0.608862108,0.440337847,0.541058788,0.485931735,0.65743508
p20015,KS,0,0,0.138526789,0.175909354,0.143119988,0.210127643,0.229046703,0.378285815,0.530541862,0.814046586
p20017,KS,0,0,0,0.005614625,0.018667824,0.031048763,0.037286673,0.069797314,0.109932098,0.153688432
p20019,KS,0,0,0.021311814,0.0428991,0.074671298,0.136406931,0.174004472,0.348495381,0.578338426,0.830358598
p20021,KS,0,0,0,0.018715417,0.062226082,0.106112707,0.129615576,0.244930022,0.388745388,0.534093255
p20025,KS,0,0,0.053279534,0.108183521,0.189789549,0.212297572,0.168677804,0.236792572,0.270847197,0.371746952
p20027,KS,0,0,0.042623627,0.059596615,0.062226082,0.082561223,0.081675568,0.118925863,0.143389692,0.198603944
p20029,KS,0,0,0,0.002807313,0.009333912,0.01596052,0.019531114,0.036481144,0.057355877,0.078016169
p20031,KS,0,0,0.149182696,0.296550616,0.51025387,0.655892918,0.626771209,1.072797506,1.55976121,2.204896616
p20033,KS,0,0,0,0.004678854,0.01555652,0.028926939,0.037286673,0.07313018,0.11949141,0.167539584
p20035,KS,0,0,0.021311814,0.040091787,0.065337386,0.10212859,0.117186685,0.218331385,0.342542043,0.47512152
p20037,KS,0,0,0,0.042109689,0.140008684,0.236790967,0.287640045,0.547720833,0.874677124,1.223090955
p20041,KS,0,0,0.010655907,0.049522676,0.130674771,0.257466089,0.342682276,0.764707236,1.363795297,1.943856347
p20043,KS,0,0,0,0.000935771,0.003111304,0.005610932,0.007102223,0.012659895,0.019118626,0.025666007
p20045,KS,0,0,0.010655907,0.112219324,0.339132145,0.574955986,0.699568999,1.320322691,2.093489509,2.924460413
p20047,KS,0,0,0,0.007486167,0.024890433,0.043142905,0.053266675,0.102170421,0.164101537,0.228445082
p20049,KS,0,0,0.010655907,0.019578008,0.031113041,0.051747938,0.062144454,0.1202172,0.194372694,0.27519182
p20051,KS,0,0,0.021311814,0.056935663,0.121340859,0.210975868,0.261006708,0.519687945,0.858744936,1.215956703
p20053,KS,0,0,0,0.003743083,0.012445216,0.022443729,0.028408893,0.053972445,0.086033815,0.116515178
p20057,KS,0,0,0.010655907,0.027999946,0.059114778,0.096140389,0.113635573,0.212556915,0.334575949,0.459336606
p20059,KS,0,0,0.021311814,0.026990995,0.021779129,0.034042863,0.039062228,0.068518466,0.101966003,0.141976113
p20061,KS,0,0,0.021311814,0.077522622,0.189789549,0.311737173,0.371091169,0.696474597,1.099320975,1.550120258
p20069,KS,0,0,0,0.008421938,0.028001737,0.04788156,0.058593343,0.110554387,0.175254068,0.242398771
p20073,KS,0,0,0,0.013100792,0.043558257,0.075936222,0.094104459,0.177742204,0.281999728,0.390791385
p20077,KS,0,0,0,0.000935771,0.003111304,0.003866378,0.003551112,0.00577447,0.007966094,0.01069417
p20079,KS,0,0,0.532795341,1.035046663,1.742330286,1.869469697,1.386709106,1.771387141,1.723862746,2.354944223
p20081,KS,0,0,0,0.001871542,0.006222608,0.011221865,0.014204447,0.026986223,0.043016908,0.057748515
p20083,KS,0,0,0,0.004678854,0.01555652,0.026310107,0.031960005,0.063635259,0.105152441,0.146253782
p20085,KS,0,0,0.010655907,0.029871488,0.065337386,0.125680075,0.165126693,0.350445798,0.605423146,0.876900264
p20087,KS,0,0,0,0.013100792,0.043558257,0.07331939,0.088777792,0.167691805,0.26606754,0.36533045
p20089,KS,0,0,0,0.000935771,0.003111304,0.005610932,0.007102223,0.014326328,0.023898282,0.032082508
