"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2016/01/01 21:00:00","CENTRL","1706","2"
"2016/01/01 21:00:00","DUNWOD","718","2"
"2016/01/01 21:00:00","GENESE","1050","2"
"2016/01/01 21:00:00","HUD VL","1128","2"
"2016/01/01 21:00:00","LONGIL","2563","2"
"2016/01/01 21:00:00","MHK VL","719","2"
"2016/01/01 21:00:00","MILLWD","338","2"
"2016/01/01 21:00:00","N.Y.C.","5493","2"
"2016/01/01 21:00:00","NORTH","542","2"
"2016/01/01 21:00:00","WEST","1793","2"
"2016/01/01 22:00:00","CAPITL","1250","3"
"2016/01/01 22:00:00","CENTRL","1625","3"
"2016/01/01 22:00:00","DUNWOD","688","3"
"2016/01/01 22:00:00","GENESE","995","3"
"2016/01/01 22:00:00","HUD VL","1062","3"
"2016/01/01 22:00:00","LONGIL","2415","3"
"2016/01/01 22:00:00","MHK VL","684","3"
"2016/01/01 22:00:00","MILLWD","320","3"
"2016/01/01 22:00:00","N.Y.C.","5341","3"
"2016/01/01 22:00:00","NORTH","532","3"
"2016/01/01 22:00:00","WEST","1719","3"
"2016/01/01 23:00:00","CAPITL","1175","4"
"2016/01/01 23:00:00","CENTRL","1538","4"
"2016/01/01 23:00:00","DUNWOD","642","4"
"2016/01/01 23:00:00","GENESE","937","4"
"2016/01/01 23:00:00","HUD VL","980","4"
"2016/01/01 23:00:00","LONGIL","2234","4"
"2016/01/01 23:00:00","MHK VL","637","4"
"2016/01/01 23:00:00","MILLWD","300","4"
"2016/01/01 23:00:00","N.Y.C.","5088","4"
"2016/01/01 23:00:00","NORTH","522","4"
"2016/01/01 23:00:00","WEST","1637","4"
"2016/01/02 00:00:00","CAPITL","1087","5"
"2016/01/02 00:00:00","CENTRL","1443","5"
"2016/01/02 00:00:00","DUNWOD","586","5"
"2016/01/02 00:00:00","GENESE","872","5"
"2016/01/02 00:00:00","HUD VL","888","5"
"2016/01/02 00:00:00","LONGIL","2023","5"
"2016/01/02 00:00:00","MHK VL","579","5"
"2016/01/02 00:00:00","MILLWD","269","5"
"2016/01/02 00:00:00","N.Y.C.","4801","5"
"2016/01/02 00:00:00","NORTH","497","5"
"2016/01/02 00:00:00","WEST","1554","5"
"2016/01/02 01:00:00","CAPITL","1036","6"
"2016/01/02 01:00:00","CENTRL","1430","6"
"2016/01/02 01:00:00","DUNWOD","568","6"
"2016/01/02 01:00:00","GENESE","860","6"
"2016/01/02 01:00:00","HUD VL","858","6"
"2016/01/02 01:00:00","LONGIL","1922","6"
"2016/01/02 01:00:00","MHK VL","582","6"
"2016/01/02 01:00:00","MILLWD","260","6"
"2016/01/02 01:00:00","N.Y.C.","4563","6"
"2016/01/02 01:00:00","NORTH","491","6"
"2016/01/02 01:00:00","WEST","1520","6"
"2016/01/02 02:00:00","CAPITL","1005","7"
"2016/01/02 02:00:00","CENTRL","1419","7"
"2016/01/02 02:00:00","DUNWOD","557","7"
"2016/01/02 02:00:00","GENESE","847","7"
"2016/01/02 02:00:00","HUD VL","829","7"
"2016/01/02 02:00:00","LONGIL","1862","7"
"2016/01/02 02:00:00","MHK VL","572","7"
"2016/01/02 02:00:00","MILLWD","267","7"
"2016/01/02 02:00:00","N.Y.C.","4408","7"
"2016/01/02 02:00:00","NORTH","487","7"
"2016/01/02 02:00:00","WEST","1489","7"
"2016/01/02 03:00:00","CAPITL","996","8"
"2016/01/02 03:00:00","CENTRL","1406","8"
"2016/01/02 03:00:00","DUNWOD","551","8"
"2016/01/02 03:00:00","GENESE","838","8"
"2016/01/02 03:00:00","HUD VL","816","8"
"2016/01/02 03:00:00","LONGIL","1825","8"
"2016/01/02 03:00:00","MHK VL","566","8"
"2016/01/02 03:00:00","MILLWD","270","8"
"2016/01/02 03:00:00","N.Y.C.","4315","8"
"2016/01/02 03:00:00","NORTH","479","8"
"2016/01/02 03:00:00","WEST","1475","8"
"2016/01/02 04:00:00","CAPITL","965","9"
"2016/01/02 04:00:00","CENTRL","1361","9"
"2016/01/02 04:00:00","DUNWOD","531","9"
"2016/01/02 04:00:00","GENESE","808","9"
"2016/01/02 04:00:00","HUD VL","795","9"
"2016/01/02 04:00:00","LONGIL","1789","9"
"2016/01/02 04:00:00","MHK VL","530","9"
"2016/01/02 04:00:00","MILLWD","244","9"
"2016/01/02 04:00:00","N.Y.C.","4246","9"
"2016/01/02 04:00:00","NORTH","452","9"
"2016/01/02 04:00:00","WEST","1437","9"
"2016/01/02 05:00:00","CAPITL","972","10"
"2016/01/02 05:00:00","CENTRL","1379","10"
"2016/01/02 05:00:00","DUNWOD","531","10"
"2016/01/02 05:00:00","GENESE","830","10"
"2016/01/02 05:00:00","HUD VL","807","10"
"2016/01/02 05:00:00","LONGIL","1784","10"
"2016/01/02 05:00:00","MHK VL","555","10"
"2016/01/02 05:00:00","MILLWD","241","10"
"2016/01/02 05:00:00","N.Y.C.","4226","10"
"2016/01/02 05:00:00","NORTH","470","10"
"2016/01/02 05:00:00","WEST","1443","10"
"2016/01/02 06:00:00","CAPITL","1018","11"
"2016/01/02 06:00:00","CENTRL","1455","11"
"2016/01/02 06:00:00","DUNWOD","541","11"
"2016/01/02 06:00:00","GENESE","869","11"
"2016/01/02 06:00:00","HUD VL","861","11"
"2016/01/02 06:00:00","LONGIL","1838","11"
"2016/01/02 06:00:00","MHK VL","596","11"
"2016/01/02 06:00:00","MILLWD","250","11"
"2016/01/02 06:00:00","N.Y.C.","4313","11"
"2016/01/02 06:00:00","NORTH","485","11"
"2016/01/02 06:00:00","WEST","1470","11"
"2016/01/02 07:00:00","CAPITL","1117","12"
"2016/01/02 07:00:00","CENTRL","1556","12"
"2016/01/02 07:00:00","DUNWOD","591","12"
"2016/01/02 07:00:00","GENESE","923","12"
"2016/01/02 07:00:00","HUD VL","927","12"
"2016/01/02 07:00:00","LONGIL","1945","12"
